ID,S,I,State,Nature,Obs
0,500,0,0,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,0,500,1,1,1
4,0,500,1,1,1
5,0,500,1,1,1
6,367,133,0,0,0
7,0,500,1,1,1
8,0,500,1,1,1
9,0,500,1,1,1
10,21,479,1,1,1
11,450,50,0,0,0
12,0,500,1,0,0
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,1
16,0,500,1,1,1
17,0,500,1,1,1
18,21,479,1,1,1
19,0,500,1,1,1
20,0,500,1,1,0
21,0,500,1,1,1
22,463,37,0,0,0
23,12,488,1,1,0
24,48,452,1,1,1
25,0,500,1,1,0
26,0,500,1,1,1
27,0,500,1,1,1
28,0,500,1,1,1
29,487,13,0,0,0
30,2,498,1,1,1
31,6,494,1,1,0
32,0,500,1,1,1
33,27,473,1,1,1
34,0,500,1,1,1
35,492,8,0,0,0
36,0,500,1,0,0
37,0,500,1,1,1
38,500,0,0,0,0
39,317,183,0,0,0
