ID,S,I,State,Nature,Obs
0,231,269,1,1,1
1,237,263,1,1,1
2,220,280,1,1,1
3,294,206,0,0,0
4,237,263,1,1,1
5,237,263,1,1,1
6,229,271,1,1,1
7,244,256,1,1,1
8,257,243,0,0,1
9,211,289,1,1,1
10,229,271,1,1,1
11,254,246,0,1,1
12,222,278,1,1,0
13,246,254,1,1,1
14,244,256,1,1,1
15,244,256,1,1,1
16,274,226,0,1,1
17,241,259,1,1,1
18,259,241,0,1,1
19,276,224,0,0,0
20,249,251,1,1,1
21,249,251,1,0,0
22,253,247,0,1,1
23,252,248,0,1,0
24,246,254,1,1,1
25,305,195,0,1,1
26,231,269,1,1,1
27,249,251,1,1,1
28,253,247,0,1,1
29,257,243,0,1,1
30,288,212,0,1,1
31,243,257,1,1,1
32,234,266,1,1,1
33,250,250,0.5,1,1
34,245,255,1,0,0
35,288,212,0,0,0
36,250,250,0.5,1,1
37,269,231,0,0,1
38,296,204,0,0,0
39,247,253,1,1,1
