ID,S,I,State,Nature,Obs
0,133,367,1,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,282,218,0,0,0
4,2,498,1,1,1
5,0,500,1,1,0
6,129,371,1,1,1
7,0,500,1,1,1
8,6,494,1,1,1
9,0,500,1,1,1
10,4,496,1,1,1
11,97,403,1,1,1
12,39,461,1,1,1
13,68,432,1,1,1
14,0,500,1,1,1
15,20,480,1,1,1
16,275,225,0,1,1
17,237,263,1,1,0
18,217,283,1,0,0
19,129,371,1,1,1
20,1,499,1,1,0
21,13,487,1,1,1
22,201,299,1,0,0
23,7,493,1,1,1
24,66,434,1,1,0
25,193,307,1,1,1
26,1,499,1,1,1
27,15,485,1,1,1
28,17,483,1,1,1
29,42,458,1,1,1
30,170,330,1,1,1
31,23,477,1,1,0
32,0,500,1,1,1
33,0,500,1,1,1
34,14,486,1,1,1
35,314,186,0,0,0
36,28,472,1,1,1
37,48,452,1,1,1
38,75,425,1,0,0
39,97,403,1,0,0
