ID,S,I,State,Nature,Obs
0,494,6,0,0,0
1,22,478,1,0,0
2,0,500,1,0,0
3,0,500,1,1,1
4,2,498,1,1,1
5,0,500,1,1,1
6,500,0,0,1,1
7,9,491,1,1,1
8,0,500,1,1,1
9,439,61,0,1,0
10,5,495,1,1,1
11,500,0,0,0,0
12,2,498,1,0,1
13,0,500,1,1,1
14,453,47,0,0,0
15,56,444,1,0,0
16,500,0,0,0,0
17,6,494,1,1,1
18,448,52,0,1,1
19,0,500,1,1,1
20,8,492,1,1,1
21,0,500,1,1,1
22,0,500,1,1,0
23,500,0,0,0,0
24,11,489,1,0,0
25,19,481,1,0,1
26,493,7,0,0,0
27,479,21,0,0,0
28,459,41,0,0,0
29,500,0,0,0,0
30,41,459,1,1,1
31,478,22,0,0,0
32,12,488,1,1,1
33,60,440,1,0,0
34,0,500,1,1,1
35,0,500,1,1,1
36,11,489,1,1,1
37,0,500,1,1,1
38,0,500,1,1,1
39,500,0,0,0,0
