ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,0,500,1,1,1
4,0,500,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,1
8,247,253,1,1,1
9,0,500,1,1,1
10,0,500,1,1,1
11,271,229,0,0,0
12,0,500,1,1,1
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,0
16,16,484,1,1,1
17,0,500,1,1,1
18,0,500,1,1,1
19,6,494,1,1,1
20,0,500,1,1,1
21,57,443,1,1,1
22,42,458,1,1,1
23,0,500,1,1,1
24,500,0,0,1,1
25,0,500,1,1,1
26,0,500,1,1,1
27,0,500,1,1,1
28,0,500,1,1,1
29,2,498,1,1,1
30,0,500,1,0,0
31,0,500,1,1,1
32,0,500,1,1,1
33,0,500,1,1,1
34,101,399,1,0,0
35,312,188,0,0,0
36,0,500,1,1,1
37,320,180,0,1,1
38,6,494,1,1,1
39,271,229,0,0,0
