ID,S,I,State,Nature,Obs
0,95,405,1,0,0
1,67,433,1,1,1
2,268,232,0,0,1
3,113,387,1,1,1
4,105,395,1,1,1
5,151,349,1,1,1
6,73,427,1,1,1
7,302,198,0,1,0
8,39,461,1,1,1
9,7,493,1,1,1
10,54,446,1,1,1
11,252,248,0,0,0
12,288,212,0,0,0
13,32,468,1,0,0
14,354,146,0,1,1
15,78,422,1,1,1
16,100,400,1,1,1
17,354,146,0,1,1
18,334,166,0,1,1
19,58,442,1,1,1
20,249,251,1,1,1
21,226,274,1,1,1
22,41,459,1,1,0
23,266,234,0,0,0
24,317,183,0,1,1
25,387,113,0,1,1
26,33,467,1,1,1
27,228,272,1,1,1
28,87,413,1,1,1
29,298,202,0,1,0
30,339,161,0,0,0
31,235,265,1,0,0
32,41,459,1,1,1
33,34,466,1,1,1
34,86,414,1,1,1
35,76,424,1,0,0
36,240,260,1,1,1
37,46,454,1,1,1
38,88,412,1,1,1
39,58,442,1,1,0
