ID,S,I,State,Nature,Obs
0,205,295,1,0,0
1,201,299,1,1,1
2,189,311,1,0,1
3,273,227,0,1,1
4,186,314,1,1,1
5,207,293,1,1,1
6,205,295,1,1,1
7,197,303,1,1,0
8,220,280,1,1,1
9,188,312,1,1,1
10,192,308,1,1,1
11,229,271,1,0,0
12,194,306,1,0,0
13,225,275,1,0,0
14,185,315,1,1,1
15,193,307,1,1,1
16,262,238,0,1,1
17,201,299,1,1,1
18,246,254,1,1,1
19,237,263,1,1,1
20,198,302,1,1,1
21,219,281,1,1,1
22,248,252,1,1,0
23,195,305,1,0,0
24,195,305,1,1,1
25,298,202,0,1,1
26,191,309,1,1,1
27,208,292,1,1,1
28,204,296,1,1,1
29,259,241,0,1,0
30,274,226,0,0,0
31,195,305,1,0,0
32,204,296,1,1,1
33,190,310,1,1,1
34,242,258,1,1,1
35,265,235,0,0,0
36,202,298,1,1,1
37,255,245,0,1,1
38,267,233,0,1,1
39,244,256,1,1,0
