ID,S,I,State,Nature,Obs
0,0,500,1,0,0
1,1,499,1,1,1
2,2,498,1,1,1
3,4,496,1,1,1
4,0,500,1,1,1
5,0,500,1,1,1
6,36,464,1,1,1
7,0,500,1,1,1
8,0,500,1,1,1
9,0,500,1,1,1
10,0,500,1,1,1
11,454,46,0,0,0
12,0,500,1,0,0
13,0,500,1,0,0
14,3,497,1,1,1
15,0,500,1,1,1
16,32,468,1,1,1
17,0,500,1,1,1
18,500,0,0,0,0
19,1,499,1,1,1
20,0,500,1,1,1
21,0,500,1,1,1
22,0,500,1,1,1
23,35,465,1,1,1
24,0,500,1,1,1
25,41,459,1,1,1
26,0,500,1,1,1
27,3,497,1,1,1
28,0,500,1,1,1
29,0,500,1,1,1
30,218,282,1,1,1
31,267,233,0,0,0
32,0,500,1,1,1
33,0,500,1,1,1
34,0,500,1,1,1
35,476,24,0,0,0
36,0,500,1,1,1
37,0,500,1,1,1
38,0,500,1,1,1
39,230,270,1,1,1
