ID,S,I,State,Nature,Obs
0,254,246,0,1,0
1,36,464,1,1,1
2,20,480,1,1,1
3,243,257,1,1,0
4,0,500,1,1,1
5,0,500,1,1,1
6,226,274,1,0,0
7,24,476,1,1,1
8,2,498,1,1,0
9,0,500,1,1,1
10,6,494,1,0,1
11,284,216,0,0,0
12,236,264,1,0,0
13,147,353,1,1,1
14,5,495,1,1,1
15,134,366,1,0,0
16,68,432,1,1,1
17,333,167,0,1,0
18,173,327,1,1,1
19,130,370,1,1,1
20,22,478,1,1,1
21,179,321,1,1,1
22,199,301,1,0,0
23,33,467,1,1,1
24,96,404,1,0,0
25,97,403,1,1,1
26,0,500,1,1,1
27,75,425,1,1,1
28,9,491,1,1,0
29,110,390,1,0,0
30,201,299,1,1,1
31,65,435,1,1,1
32,12,488,1,1,1
33,8,492,1,0,0
34,3,497,1,1,1
35,249,251,1,0,0
36,94,406,1,0,0
37,133,367,1,1,1
38,84,416,1,1,1
39,203,297,1,1,1
