ID,S,I,State,Nature,Obs
0,0,500,1,0,0
1,0,500,1,1,0
2,500,0,0,0,0
3,471,29,0,1,0
4,0,500,1,1,1
5,25,475,1,1,1
6,0,500,1,1,1
7,43,457,1,1,1
8,0,500,1,1,1
9,0,500,1,1,1
10,0,500,1,1,1
11,2,498,1,1,1
12,0,500,1,0,0
13,0,500,1,1,1
14,42,458,1,1,1
15,433,67,0,0,0
16,0,500,1,1,1
17,0,500,1,1,1
18,500,0,0,0,0
19,0,500,1,1,1
20,18,482,1,1,1
21,0,500,1,1,1
22,10,490,1,1,1
23,0,500,1,1,1
24,0,500,1,0,0
25,0,500,1,1,1
26,1,499,1,1,1
27,500,0,0,0,0
28,500,0,0,0,1
29,0,500,1,1,0
30,422,78,0,1,0
31,77,423,1,0,0
32,16,484,1,1,1
33,36,464,1,1,1
34,0,500,1,1,1
35,0,500,1,1,1
36,0,500,1,1,1
37,0,500,1,1,1
38,0,500,1,1,1
39,0,500,1,1,1
