ID,S,I,State,Nature,Obs
0,24,476,1,1,1
1,0,500,1,1,1
2,110,390,1,1,1
3,219,281,1,1,1
4,0,500,1,1,1
5,233,267,1,1,1
6,7,493,1,1,1
7,280,220,0,0,0
8,104,396,1,1,1
9,22,478,1,1,1
10,30,470,1,1,1
11,100,400,1,1,0
12,38,462,1,1,1
13,53,447,1,1,1
14,193,307,1,0,1
15,14,486,1,1,0
16,242,258,1,0,0
17,89,411,1,1,1
18,205,295,1,1,1
19,170,330,1,1,1
20,212,288,1,1,1
21,51,449,1,1,1
22,121,379,1,1,1
23,166,334,1,1,1
24,88,412,1,1,1
25,351,149,0,0,1
26,96,404,1,1,1
27,130,370,1,1,1
28,191,309,1,0,0
29,131,369,1,1,0
30,116,384,1,1,1
31,265,235,0,1,1
32,142,358,1,1,1
33,160,340,1,1,1
34,161,339,1,1,1
35,74,426,1,1,1
36,152,348,1,1,1
37,114,386,1,0,1
38,251,249,0,1,1
39,16,484,1,1,1
