ID,S,I,State,Nature,Obs
0,440,60,0,0,0
1,498,2,0,0,0
2,497,3,0,0,0
3,499,1,0,0,0
4,271,229,0,1,1
5,364,136,0,1,1
6,443,57,0,1,1
7,350,150,0,1,1
8,399,101,0,1,1
9,421,79,0,0,0
10,359,141,0,1,1
11,413,87,0,0,0
12,346,154,0,0,0
13,306,194,0,1,1
14,420,80,0,1,1
15,380,120,0,0,0
16,455,45,0,1,1
17,282,218,0,1,1
18,497,3,0,1,1
19,500,0,0,0,0
20,391,109,0,1,1
21,426,74,0,0,0
22,478,22,0,0,0
23,365,135,0,0,0
24,289,211,0,1,1
25,321,179,0,0,0
26,315,185,0,1,1
27,364,136,0,1,1
28,346,154,0,1,1
29,348,152,0,0,0
30,443,57,0,1,0
31,427,73,0,0,0
32,394,106,0,1,1
33,411,89,0,1,1
34,497,3,0,0,0
35,496,4,0,0,0
36,350,150,0,0,0
37,459,41,0,0,1
38,454,46,0,0,0
39,498,2,0,0,0
