ID,S,I,State,Nature,Obs
0,211,289,1,1,1
1,75,425,1,1,1
2,24,476,1,1,1
3,184,316,1,0,0
4,1,499,1,1,1
5,8,492,1,1,1
6,105,395,1,1,0
7,9,491,1,1,1
8,86,414,1,1,1
9,21,479,1,1,1
10,24,476,1,1,1
11,110,390,1,1,1
12,49,451,1,0,0
13,150,350,1,1,1
14,102,398,1,1,1
15,13,487,1,1,1
16,252,248,0,1,0
17,23,477,1,1,1
18,137,363,1,0,0
19,147,353,1,1,1
20,5,495,1,1,1
21,128,372,1,1,1
22,166,334,1,0,0
23,54,446,1,1,1
24,47,453,1,1,1
25,287,213,0,1,1
26,38,462,1,1,1
27,69,431,1,1,1
28,49,451,1,1,1
29,212,288,1,1,1
30,204,296,1,0,0
31,30,470,1,1,1
32,28,472,1,1,1
33,40,460,1,0,0
34,94,406,1,1,1
35,139,361,1,1,1
36,20,480,1,1,1
37,246,254,1,1,1
38,170,330,1,0,1
39,130,370,1,1,1
