ID,S,I,State,Nature,Obs
0,39,461,1,1,0
1,0,500,1,1,1
2,0,500,1,1,0
3,0,500,1,1,1
4,0,500,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,0
8,0,500,1,1,1
9,0,500,1,1,1
10,31,469,1,1,1
11,0,500,1,1,1
12,0,500,1,1,1
13,500,0,0,1,0
14,0,500,1,1,1
15,0,500,1,1,1
16,500,0,0,0,0
17,0,500,1,1,1
18,25,475,1,1,1
19,5,495,1,1,1
20,0,500,1,1,1
21,500,0,0,0,0
22,135,365,1,1,1
23,0,500,1,1,0
24,43,457,1,1,1
25,11,489,1,0,1
26,0,500,1,1,1
27,0,500,1,1,1
28,0,500,1,1,0
29,222,278,1,1,1
30,54,446,1,1,1
31,0,500,1,1,0
32,0,500,1,1,1
33,0,500,1,1,1
34,0,500,1,1,0
35,0,500,1,1,0
36,48,452,1,1,1
37,0,500,1,1,1
38,1,499,1,0,1
39,22,478,1,0,1
