ID,S,I,State,Nature,Obs
0,78,422,1,1,1
1,41,459,1,1,1
2,209,291,1,1,1
3,185,315,1,1,1
4,80,420,1,1,1
5,151,349,1,1,1
6,103,397,1,1,1
7,198,302,1,0,0
8,138,362,1,1,1
9,161,339,1,1,1
10,170,330,1,1,1
11,134,366,1,1,0
12,157,343,1,1,1
13,105,395,1,1,1
14,122,378,1,0,1
15,128,372,1,1,0
16,155,345,1,0,0
17,84,416,1,1,1
18,133,367,1,1,1
19,136,364,1,1,1
20,199,301,1,1,1
21,86,414,1,1,1
22,151,349,1,1,1
23,75,425,1,1,1
24,73,427,1,1,1
25,225,275,1,0,1
26,152,348,1,1,1
27,97,403,1,1,1
28,84,416,1,0,0
29,177,323,1,1,0
30,197,303,1,1,1
31,122,378,1,1,1
32,121,379,1,1,1
33,138,362,1,1,1
34,128,372,1,1,1
35,178,322,1,1,1
36,92,408,1,1,1
37,131,369,1,0,1
38,202,298,1,1,1
39,61,439,1,1,1
