ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,1,499,1,1,1
2,0,500,1,1,1
3,125,375,1,0,0
4,0,500,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,1
8,36,464,1,0,1
9,0,500,1,1,1
10,0,500,1,1,1
11,13,487,1,1,1
12,0,500,1,1,0
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,1
16,40,460,1,1,1
17,0,500,1,1,1
18,0,500,1,1,1
19,445,55,0,0,0
20,2,498,1,1,1
21,232,268,1,0,0
22,98,402,1,1,1
23,298,202,0,1,0
24,0,500,1,1,1
25,113,387,1,1,1
26,0,500,1,1,1
27,0,500,1,1,1
28,0,500,1,1,1
29,0,500,1,1,1
30,48,452,1,1,1
31,0,500,1,1,1
32,0,500,1,1,1
33,0,500,1,1,1
34,489,11,0,0,0
35,445,55,0,0,0
36,0,500,1,1,1
37,116,384,1,0,1
38,457,43,0,0,0
39,0,500,1,1,1
