0 1
0 2
0 6
0 9
0 10
0 17
0 22
1 0
1 2
1 4
1 5
1 7
1 9
1 14
1 18
1 19
1 21
1 22
1 23
1 26
1 31
1 34
1 37
2 0
2 1
2 3
2 4
2 7
2 10
2 14
2 20
2 21
2 26
2 35
3 2
4 1
4 2
4 6
4 11
4 12
4 17
4 32
5 1
5 5
5 8
5 13
5 15
6 4
6 0
6 30
6 36
7 2
7 1
7 8
7 12
7 16
7 27
7 28
7 36
8 7
8 5
8 11
8 24
8 37
8 38
9 0
9 1
10 0
10 2
10 23
10 28
10 31
10 33
11 4
11 8
12 7
12 4
12 13
12 27
13 12
13 5
13 16
14 1
14 2
14 15
14 19
14 24
14 33
15 5
15 14
15 18
15 20
15 25
16 7
16 13
17 4
17 0
18 15
18 1
18 38
19 1
19 14
19 25
20 15
20 2
20 29
20 32
21 2
21 1
22 1
22 0
22 39
23 10
23 1
23 30
24 14
24 8
24 29
25 15
25 19
26 1
26 2
26 39
27 12
27 7
28 7
28 10
29 20
29 24
30 6
30 23
31 1
31 10
32 4
32 20
32 35
33 14
33 10
33 34
34 1
34 33
35 2
35 32
36 6
36 7
37 1
37 8
38 18
38 8
39 22
39 26
