ID,S,I,State,Nature,Obs
0,49,451,1,1,0
1,0,500,1,1,1
2,0,500,1,1,1
3,500,0,0,0,0
4,500,0,0,1,0
5,1,499,1,1,1
6,359,141,0,1,0
7,45,455,1,0,0
8,0,500,1,0,1
9,0,500,1,0,0
10,80,420,1,0,1
11,2,498,1,0,1
12,0,500,1,0,0
13,53,447,1,1,1
14,2,498,1,0,0
15,0,500,1,1,0
16,500,0,0,1,1
17,6,494,1,0,1
18,0,500,1,1,1
19,397,103,0,1,0
20,1,499,1,1,1
21,0,500,1,0,0
22,10,490,1,0,1
23,351,149,0,1,0
24,205,295,1,0,0
25,56,444,1,0,1
26,500,0,0,1,0
27,0,500,1,1,1
28,72,428,1,1,1
29,292,208,0,1,1
30,472,28,0,1,0
31,212,288,1,1,1
32,82,418,1,1,0
33,191,309,1,0,0
34,412,88,0,1,0
35,459,41,0,0,0
36,209,291,1,0,0
37,80,420,1,0,1
38,201,299,1,0,1
39,78,422,1,0,1
