ID,S,I,State,Nature,Obs
0,39,461,1,0,1
1,0,500,1,0,1
2,3,497,1,0,1
3,317,183,0,0,0
4,63,437,1,0,1
5,319,181,0,0,0
6,351,149,0,0,0
7,1,499,1,0,1
8,262,238,0,0,0
9,21,479,1,0,0
10,278,222,0,0,0
11,472,28,0,0,0
12,171,329,1,0,1
13,467,33,0,0,0
14,37,463,1,0,1
15,354,146,0,0,1
16,275,225,0,0,1
17,356,144,0,0,0
18,110,390,1,0,0
19,211,289,1,1,0
20,111,389,1,0,1
21,6,494,1,0,1
22,114,386,1,0,0
23,141,359,1,0,1
24,260,240,0,0,1
25,491,9,0,0,0
26,1,499,1,0,0
27,442,58,0,0,0
28,200,300,1,0,1
29,451,49,0,0,1
30,469,31,0,0,1
31,16,484,1,0,0
32,466,34,0,0,0
33,313,187,0,0,1
34,20,480,1,0,0
35,48,452,1,0,1
36,308,192,0,0,0
37,227,273,1,0,0
38,365,135,0,0,0
39,387,113,0,0,0
