ID,S,I,State,Nature,Obs
0,500,0,0,1,1
1,0,500,1,1,1
2,2,498,1,1,1
3,88,412,1,0,0
4,0,500,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,1
8,7,493,1,1,1
9,0,500,1,1,1
10,0,500,1,1,1
11,0,500,1,1,1
12,41,459,1,1,1
13,0,500,1,1,0
14,0,500,1,1,1
15,0,500,1,1,1
16,37,463,1,0,1
17,27,473,1,1,0
18,349,151,0,0,0
19,0,500,1,0,0
20,459,41,0,0,0
21,0,500,1,1,1
22,0,500,1,1,0
23,0,500,1,1,1
24,3,497,1,1,1
25,0,500,1,1,1
26,0,500,1,1,1
27,0,500,1,0,0
28,500,0,0,0,0
29,0,500,1,0,1
30,8,492,1,1,0
31,496,4,0,1,0
32,53,447,1,1,1
33,28,472,1,0,1
34,0,500,1,1,1
35,407,93,0,1,0
36,0,500,1,0,0
37,0,500,1,1,1
38,112,388,1,1,0
39,500,0,0,0,0
