ID,S,I,State,Nature,Obs
0,426,74,0,0,0
1,424,76,0,0,0
2,427,73,0,0,0
3,438,62,0,0,0
4,424,76,0,0,0
5,430,70,0,0,0
6,437,63,0,0,0
7,436,64,0,0,0
8,430,70,0,0,0
9,426,74,0,0,0
10,429,71,0,0,0
11,444,56,0,0,0
12,432,68,0,0,0
13,444,56,0,0,0
14,423,77,0,0,0
15,441,59,0,0,0
16,442,58,0,0,0
17,437,63,0,0,0
18,428,72,0,0,0
19,437,63,0,0,0
20,435,65,0,0,0
21,424,76,0,0,0
22,422,78,0,0,0
23,432,68,0,0,0
24,446,54,0,0,0
25,456,44,0,0,0
26,422,78,0,0,0
27,445,55,0,0,0
28,437,63,0,0,0
29,457,43,0,0,0
30,455,45,0,0,0
31,435,65,0,0,0
32,438,62,0,0,0
33,438,62,0,0,0
34,437,63,0,0,0
35,437,63,0,0,0
36,445,55,0,0,0
37,428,72,0,0,0
38,442,58,0,0,0
39,453,47,0,0,0
