0 38
0 24
0 4
0 11
0 20
1 39
1 18
1 2
1 29
1 8
1 13
2 1
2 3
3 2
3 5
3 33
4 8
4 0
4 5
4 6
4 12
4 16
4 30
5 4
5 3
5 7
5 25
6 4
6 7
7 5
7 6
7 9
8 1
8 9
8 4
8 27
8 34
9 7
9 8
9 10
9 15
9 34
10 28
10 9
10 20
11 12
11 0
11 27
11 28
12 4
12 11
12 13
12 14
13 12
13 1
13 15
13 17
13 22
13 26
13 32
14 12
14 33
14 16
15 13
15 16
15 9
15 28
16 14
16 15
16 4
16 18
17 13
17 18
17 19
18 16
18 17
18 19
18 20
18 1
19 17
19 18
19 20
19 21
19 24
19 34
20 18
20 19
20 21
20 0
20 10
20 26
20 37
21 19
21 20
21 26
21 23
21 30
22 25
22 24
22 13
23 21
23 27
24 22
24 19
24 0
25 5
25 26
25 27
25 22
26 13
26 25
26 28
26 20
26 21
27 25
27 11
27 28
27 8
27 23
28 26
28 27
28 15
28 11
28 10
29 31
29 1
30 4
30 21
30 32
31 29
31 32
31 33
32 30
32 31
32 13
32 34
32 38
33 31
33 3
33 36
33 14
34 19
34 32
34 9
34 8
35 36
35 37
36 35
36 37
36 38
36 33
37 35
37 36
37 20
38 36
38 32
38 39
38 0
39 38
39 1
