ID,S,I,State,Nature,Obs
0,0,500,1,0,1
1,500,0,0,0,0
2,0,500,1,1,1
3,0,500,1,1,1
4,0,500,1,1,1
5,500,0,0,0,0
6,0,500,1,1,0
7,500,0,0,0,0
8,0,500,1,1,1
9,500,0,0,0,0
10,0,500,1,0,0
11,0,500,1,1,1
12,0,500,1,1,1
13,0,500,1,1,0
14,0,500,1,0,1
15,0,500,1,1,1
16,0,500,1,1,1
17,0,500,1,1,1
18,500,0,0,0,0
19,0,500,1,1,1
20,500,0,0,0,0
21,0,500,1,1,1
22,500,0,0,0,0
23,500,0,0,0,0
24,0,500,1,1,1
25,500,0,0,0,0
26,0,500,1,1,1
27,0,500,1,1,1
28,0,500,1,1,1
29,500,0,0,1,1
30,0,500,1,0,1
31,500,0,0,0,0
32,0,500,1,1,1
33,0,500,1,1,1
34,0,500,1,1,1
35,500,0,0,0,0
36,0,500,1,1,1
37,500,0,0,0,0
38,0,500,1,0,0
39,500,0,0,0,0
