0 1
0 2
0 5
0 8
0 14
1 0
1 2
1 6
1 9
1 19
1 21
1 26
1 32
1 34
1 37
1 39
2 0
2 0
2 3
2 4
2 11
3 2
3 23
3 31
4 2
4 4
4 5
4 7
4 9
4 10
4 12
4 14
4 15
4 17
4 20
4 23
4 24
4 26
4 27
4 28
4 31
4 32
4 33
4 36
5 0
5 4
5 6
5 28
6 5
6 1
6 8
6 12
6 16
6 22
7 4
7 7
7 11
8 6
8 0
8 13
8 30
9 1
9 4
9 10
9 18
9 22
9 35
9 39
10 9
10 4
10 27
10 30
11 7
11 2
11 13
11 16
12 4
12 6
12 20
12 29
12 33
12 38
13 11
13 8
13 15
13 17
13 21
13 24
13 29
14 4
14 0
14 34
15 4
15 13
16 11
16 6
17 13
17 4
17 18
17 25
18 17
18 9
18 19
19 18
19 1
20 12
20 4
21 1
21 13
21 37
22 9
22 6
23 4
23 3
24 4
24 13
24 25
25 24
25 17
26 1
26 4
26 38
27 10
27 4
28 4
28 5
29 12
29 13
30 8
30 10
30 35
31 3
31 4
32 4
32 1
33 12
33 4
34 14
34 1
34 36
35 9
35 30
36 4
36 34
37 21
37 1
38 12
38 26
39 1
39 9
