ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,0,500,1,1,1
4,0,500,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,1
8,500,0,0,0,0
9,0,500,1,0,0
10,0,500,1,1,1
11,0,500,1,1,1
12,0,500,1,1,1
13,0,500,1,1,1
14,500,0,0,0,0
15,0,500,1,1,1
16,500,0,0,0,0
17,500,0,0,0,0
18,0,500,1,1,1
19,500,0,0,0,0
20,249,251,1,1,1
21,0,500,1,1,1
22,0,500,1,1,1
23,0,500,1,1,1
24,0,500,1,1,1
25,500,0,0,1,1
26,0,500,1,1,1
27,0,500,1,1,0
28,0,500,1,1,1
29,500,0,0,0,0
30,500,0,0,0,0
31,0,500,1,1,1
32,500,0,0,0,0
33,0,500,1,1,1
34,0,500,1,1,1
35,0,500,1,1,1
36,0,500,1,1,1
37,0,500,1,1,1
38,0,500,1,1,1
39,251,249,0,1,1
