ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,1
2,334,166,0,0,0
3,500,0,0,0,0
4,167,333,1,0,1
5,500,0,0,0,0
6,0,500,1,1,1
7,500,0,0,1,0
8,500,0,0,0,0
9,0,500,1,1,1
10,500,0,0,0,0
11,0,500,1,1,1
12,167,333,1,1,1
13,0,500,1,1,0
14,500,0,0,0,0
15,500,0,0,0,0
16,500,0,0,0,0
17,0,500,1,1,1
18,0,500,1,1,1
19,0,500,1,1,1
20,0,500,1,1,1
21,0,500,1,0,0
22,0,500,1,1,1
23,0,500,1,1,1
24,500,0,0,0,0
25,0,500,1,1,1
26,0,500,1,1,1
27,0,500,1,1,1
28,166,334,1,1,1
29,0,500,1,1,1
30,500,0,0,0,0
31,167,333,1,1,1
32,500,0,0,0,0
33,500,0,0,0,0
34,0,500,1,0,0
35,0,500,1,1,1
36,0,500,1,1,1
37,0,500,1,1,1
38,167,333,1,1,1
39,0,500,1,1,1
