ID,S,I,State,Nature,Obs
0,445,55,0,0,0
1,366,134,0,0,0
2,404,96,0,0,0
3,459,41,0,0,0
4,415,85,0,0,0
5,301,199,0,0,0
6,467,33,0,0,0
7,403,97,0,0,0
8,412,88,0,0,0
9,416,84,0,0,0
10,454,46,0,0,0
11,460,40,0,0,0
12,441,59,0,0,0
13,435,65,0,0,0
14,344,156,0,0,0
15,396,104,0,0,0
16,458,42,0,0,0
17,466,34,0,0,0
18,395,105,0,0,0
19,114,386,1,1,1
20,449,51,0,0,0
21,404,96,0,0,0
22,416,84,0,0,0
23,415,85,0,0,0
24,437,63,0,0,0
25,399,101,0,0,0
26,406,94,0,0,0
27,467,33,0,0,0
28,460,40,0,0,0
29,485,15,0,0,0
30,485,15,0,0,0
31,417,83,0,0,0
32,469,31,0,0,0
33,444,56,0,0,0
34,421,79,0,0,0
35,467,33,0,0,0
36,466,34,0,0,0
37,405,95,0,0,0
38,464,36,0,0,0
39,479,21,0,0,0
