ID,S,I,State,Nature,Obs
0,154,346,1,1,1
1,291,209,0,1,1
2,123,377,1,1,0
3,384,116,0,0,0
4,0,500,1,1,1
5,18,482,1,1,1
6,83,417,1,0,0
7,2,498,1,1,1
8,34,466,1,1,1
9,4,496,1,1,1
10,62,438,1,1,1
11,226,274,1,1,1
12,272,228,0,1,1
13,271,229,0,1,1
14,17,483,1,1,1
15,17,483,1,1,1
16,111,389,1,0,1
17,0,500,1,1,0
18,290,210,0,1,0
19,0,500,1,1,1
20,27,473,1,1,1
21,0,500,1,0,0
22,64,436,1,1,0
23,13,487,1,0,0
24,155,345,1,1,0
25,412,88,0,1,1
26,30,470,1,1,1
27,17,483,1,1,1
28,144,356,1,1,1
29,210,290,1,0,1
30,188,312,1,1,1
31,138,362,1,1,1
32,0,500,1,1,1
33,102,398,1,0,1
34,83,417,1,1,1
35,285,215,0,1,1
36,4,496,1,1,1
37,16,484,1,1,1
38,404,96,0,0,0
39,94,406,1,1,1
