ID,S,I,State,Nature,Obs
0,208,292,1,1,1
1,205,295,1,1,1
2,197,303,1,1,1
3,276,224,0,1,0
4,193,307,1,0,0
5,187,313,1,1,0
6,207,293,1,0,0
7,203,297,1,1,1
8,221,279,1,0,0
9,188,312,1,0,0
10,201,299,1,1,1
11,237,263,1,0,0
12,197,303,1,1,1
13,225,275,1,1,1
14,197,303,1,1,1
15,194,306,1,1,1
16,273,227,0,1,1
17,208,292,1,1,1
18,265,235,0,1,1
19,244,256,1,1,1
20,198,302,1,1,0
21,229,271,1,0,0
22,250,250,0.5,1,0
23,205,295,1,1,0
24,191,309,1,1,0
25,301,199,0,1,1
26,203,297,1,0,1
27,204,296,1,1,1
28,200,300,1,1,1
29,252,248,0,0,0
30,276,224,0,1,1
31,197,303,1,1,1
32,190,310,1,1,1
33,196,304,1,1,1
34,235,265,1,0,0
35,282,218,0,1,0
36,202,298,1,0,0
37,241,259,1,1,1
38,264,236,0,1,1
39,220,280,1,1,0
