ID,S,I,State,Nature,Obs
0,90,410,1,1,0
1,83,417,1,1,1
2,90,410,1,1,1
3,194,306,1,1,1
4,80,420,1,1,1
5,60,440,1,1,1
6,76,424,1,1,1
7,88,412,1,1,1
8,119,381,1,0,0
9,95,405,1,1,0
10,90,410,1,1,1
11,137,363,1,1,1
12,78,422,1,1,1
13,132,368,1,1,1
14,92,408,1,1,1
15,67,433,1,1,1
16,205,295,1,0,0
17,67,433,1,1,1
18,152,348,1,1,1
19,128,372,1,0,1
20,106,394,1,1,1
21,128,372,1,0,0
22,166,334,1,1,1
23,75,425,1,1,1
24,69,431,1,1,1
25,218,282,1,0,1
26,87,413,1,1,1
27,87,413,1,1,1
28,82,418,1,1,1
29,189,311,1,1,1
30,200,300,1,1,1
31,93,407,1,1,1
32,92,408,1,1,0
33,86,414,1,1,1
34,130,370,1,0,1
35,186,314,1,1,1
36,96,404,1,1,1
37,132,368,1,0,0
38,181,319,1,0,1
39,116,384,1,1,1
