ID,S,I,State,Nature,Obs
0,122,378,1,1,1
1,70,430,1,0,0
2,77,423,1,0,0
3,181,319,1,1,1
4,38,462,1,1,0
5,85,415,1,1,1
6,94,406,1,1,1
7,81,419,1,1,1
8,124,376,1,1,1
9,49,451,1,1,1
10,82,418,1,1,0
11,126,374,1,0,0
12,81,419,1,1,1
13,119,381,1,1,1
14,96,404,1,1,1
15,108,392,1,1,1
16,193,307,1,1,1
17,96,404,1,1,1
18,148,352,1,1,1
19,150,350,1,1,0
20,78,422,1,1,1
21,105,395,1,1,1
22,153,347,1,1,1
23,90,410,1,0,0
24,106,394,1,1,1
25,191,309,1,1,0
26,84,416,1,1,1
27,95,405,1,0,1
28,97,403,1,1,1
29,154,346,1,1,1
30,202,298,1,1,1
31,106,394,1,1,1
32,79,421,1,1,1
33,75,425,1,1,1
34,137,363,1,1,1
35,173,327,1,0,0
36,93,407,1,1,1
37,143,357,1,1,1
38,211,289,1,1,1
39,108,392,1,1,1
