ID,S,I,State,Nature,Obs
0,122,378,1,0,1
1,72,428,1,1,1
2,102,398,1,1,1
3,197,303,1,1,1
4,28,472,1,1,1
5,74,426,1,1,1
6,118,382,1,1,1
7,132,368,1,1,0
8,105,395,1,1,1
9,127,373,1,1,0
10,86,414,1,1,1
11,120,380,1,0,0
12,101,399,1,0,0
13,118,382,1,0,0
14,116,384,1,1,1
15,113,387,1,1,0
16,191,309,1,1,1
17,108,392,1,1,1
18,165,335,1,0,0
19,133,367,1,1,1
20,98,402,1,1,1
21,127,373,1,1,1
22,148,352,1,1,1
23,121,379,1,1,1
24,119,381,1,1,0
25,231,269,1,1,1
26,72,428,1,1,1
27,116,384,1,1,0
28,117,383,1,1,1
29,137,363,1,1,1
30,187,313,1,1,1
31,105,395,1,0,0
32,69,431,1,1,1
33,127,373,1,1,1
34,147,353,1,1,1
35,195,305,1,0,0
36,115,385,1,1,1
37,134,366,1,1,0
38,187,313,1,1,1
39,129,371,1,1,1
