ID,S,I,State,Nature,Obs
0,62,438,1,1,1
1,58,442,1,1,1
2,0,500,1,1,0
3,2,498,1,1,1
4,0,500,1,1,1
5,0,500,1,1,0
6,0,500,1,0,0
7,40,460,1,1,1
8,0,500,1,1,1
9,0,500,1,1,0
10,0,500,1,0,1
11,198,302,1,0,0
12,158,342,1,0,0
13,208,292,1,1,1
14,4,496,1,1,0
15,8,492,1,0,0
16,8,492,1,1,0
17,0,500,1,1,1
18,111,389,1,1,1
19,1,499,1,1,0
20,1,499,1,1,1
21,107,393,1,1,1
22,88,412,1,0,0
23,11,489,1,1,0
24,0,500,1,0,0
25,79,421,1,1,1
26,0,500,1,1,1
27,48,452,1,1,1
28,355,145,0,1,1
29,145,355,1,0,1
30,9,491,1,1,1
31,111,389,1,1,1
32,0,500,1,1,1
33,145,355,1,0,0
34,118,382,1,1,1
35,351,149,0,0,0
36,355,145,0,0,1
37,146,354,1,1,1
38,43,457,1,1,1
39,0,500,1,1,1
