ID,S,I,State,Nature,Obs
0,0,500,1,1,0
1,0,500,1,1,0
2,0,500,1,1,1
3,0,500,1,0,1
4,0,500,1,1,1
5,0,500,1,1,0
6,474,26,0,1,0
7,0,500,1,1,1
8,483,17,0,0,0
9,3,497,1,1,0
10,0,500,1,1,1
11,451,49,0,0,0
12,0,500,1,1,1
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,1
16,499,1,0,0,0
17,0,500,1,1,1
18,0,500,1,1,1
19,6,494,1,1,1
20,26,474,1,1,1
21,0,500,1,1,1
22,0,500,1,0,0
23,0,500,1,1,1
24,0,500,1,1,1
25,492,8,0,0,0
26,0,500,1,1,1
27,0,500,1,1,1
28,1,499,1,1,1
29,0,500,1,1,0
30,0,500,1,0,1
31,0,500,1,1,1
32,0,500,1,1,1
33,0,500,1,1,1
34,1,499,1,1,1
35,0,500,1,1,1
36,0,500,1,1,1
37,0,500,1,1,1
38,150,350,1,1,1
39,0,500,1,1,1
