ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,4,496,1,1,0
2,0,500,1,1,1
3,397,103,0,0,0
4,117,383,1,0,1
5,0,500,1,1,1
6,498,2,0,1,1
7,0,500,1,1,1
8,371,129,0,0,0
9,0,500,1,1,1
10,0,500,1,1,1
11,110,390,1,1,0
12,0,500,1,1,1
13,128,372,1,1,1
14,0,500,1,1,1
15,8,492,1,1,1
16,477,23,0,0,0
17,441,59,0,1,1
18,87,413,1,1,1
19,36,464,1,1,1
20,0,500,1,1,1
21,226,274,1,0,0
22,38,462,1,1,1
23,0,500,1,1,0
24,66,434,1,1,1
25,166,334,1,0,0
26,0,500,1,1,1
27,1,499,1,1,1
28,0,500,1,1,1
29,194,306,1,1,1
30,101,399,1,1,1
31,0,500,1,1,1
32,0,500,1,1,1
33,67,433,1,1,1
34,14,486,1,0,1
35,18,482,1,1,1
36,171,329,1,1,1
37,276,224,0,1,1
38,45,455,1,1,1
39,70,430,1,1,0
