ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,500,0,0,1,1
2,436,64,0,0,0
3,468,32,0,0,0
4,0,500,1,1,0
5,0,500,1,1,1
6,0,500,1,1,1
7,0,500,1,1,1
8,0,500,1,1,1
9,31,469,1,1,1
10,0,500,1,1,0
11,391,109,0,0,0
12,0,500,1,1,1
13,0,500,1,1,1
14,0,500,1,1,1
15,116,384,1,0,0
16,128,372,1,1,1
17,0,500,1,1,1
18,151,349,1,1,1
19,2,498,1,0,0
20,0,500,1,1,1
21,0,500,1,0,1
22,500,0,0,0,0
23,0,500,1,0,1
24,0,500,1,1,1
25,471,29,0,0,0
26,0,500,1,1,1
27,93,407,1,1,0
28,0,500,1,1,1
29,431,69,0,0,0
30,500,0,0,1,0
31,134,366,1,1,1
32,0,500,1,1,1
33,0,500,1,1,0
34,425,75,0,0,0
35,468,32,0,0,0
36,75,425,1,0,0
37,0,500,1,0,0
38,461,39,0,0,0
39,0,500,1,0,0
