ID,S,I,State,Nature,Obs
0,98,402,1,0,0
1,0,500,1,1,1
2,34,466,1,1,1
3,143,357,1,1,1
4,0,500,1,1,1
5,0,500,1,1,1
6,0,500,1,1,1
7,179,321,1,1,0
8,0,500,1,1,0
9,0,500,1,1,1
10,0,500,1,1,1
11,239,261,1,1,1
12,182,318,1,0,0
13,421,79,0,0,0
14,0,500,1,1,1
15,19,481,1,0,1
16,0,500,1,1,1
17,0,500,1,1,1
18,354,146,0,0,0
19,280,220,0,1,0
20,0,500,1,1,1
21,126,374,1,1,1
22,423,77,0,0,0
23,7,493,1,1,1
24,81,419,1,1,1
25,8,492,1,1,1
26,68,432,1,1,0
27,80,420,1,1,1
28,1,499,1,1,1
29,60,440,1,0,0
30,410,90,0,0,0
31,418,82,0,0,0
32,20,480,1,1,1
33,69,431,1,1,1
34,4,496,1,1,1
35,375,125,0,1,1
36,4,496,1,1,1
37,0,500,1,1,1
38,4,496,1,1,1
39,319,181,0,0,0
