ID,S,I,State,Nature,Obs
0,218,282,1,1,0
1,197,303,1,1,1
2,195,305,1,1,1
3,287,213,0,0,1
4,184,316,1,1,1
5,188,312,1,1,1
6,213,287,1,1,1
7,214,286,1,1,1
8,231,269,1,0,0
9,188,312,1,1,0
10,197,303,1,1,1
11,252,248,0,1,1
12,194,306,1,1,1
13,225,275,1,1,0
14,196,304,1,1,1
15,200,300,1,1,1
16,280,220,0,1,1
17,203,297,1,1,1
18,256,244,0,1,1
19,254,246,0,0,0
20,204,296,1,1,1
21,232,268,1,0,0
22,269,231,0,1,0
23,205,295,1,1,1
24,206,294,1,1,0
25,297,203,0,1,1
26,196,304,1,1,1
27,200,300,1,1,1
28,204,296,1,1,1
29,256,244,0,1,0
30,264,236,0,1,0
31,196,304,1,1,0
32,192,308,1,1,1
33,207,293,1,1,1
34,244,256,1,0,1
35,291,209,0,1,1
36,196,304,1,1,1
37,258,242,0,1,1
38,263,237,0,1,0
39,231,269,1,1,1
