ID,S,I,State,Nature,Obs
0,203,297,1,1,0
1,196,304,1,1,1
2,200,300,1,1,1
3,272,228,0,1,1
4,185,315,1,1,1
5,201,299,1,1,1
6,212,288,1,1,1
7,204,296,1,1,1
8,224,276,1,1,1
9,188,312,1,1,0
10,191,309,1,1,0
11,240,260,1,1,1
12,191,309,1,1,1
13,221,279,1,0,0
14,197,303,1,1,1
15,184,316,1,0,0
16,272,228,0,1,1
17,201,299,1,1,1
18,258,242,0,0,0
19,246,254,1,1,1
20,193,307,1,1,1
21,227,273,1,1,1
22,239,261,1,1,1
23,208,292,1,1,1
24,196,304,1,0,1
25,280,220,0,1,1
26,186,314,1,1,1
27,207,293,1,1,1
28,201,299,1,1,1
29,258,242,0,0,0
30,276,224,0,1,1
31,211,289,1,0,1
32,191,309,1,1,0
33,197,303,1,0,0
34,225,275,1,1,1
35,266,234,0,0,0
36,205,295,1,1,1
37,252,248,0,1,1
38,269,231,0,0,0
39,225,275,1,1,0
