ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,1
2,0,500,1,1,0
3,11,489,1,1,1
4,0,500,1,1,1
5,500,0,0,1,1
6,1,499,1,1,1
7,13,487,1,1,1
8,26,474,1,1,1
9,500,0,0,1,1
10,122,378,1,1,1
11,17,483,1,0,1
12,12,488,1,1,1
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,1
16,247,253,1,1,1
17,0,500,1,1,1
18,0,500,1,1,0
19,0,500,1,1,1
20,484,16,0,1,0
21,0,500,1,1,1
22,0,500,1,1,1
23,0,500,1,1,0
24,0,500,1,1,1
25,160,340,1,1,1
26,380,120,0,1,1
27,0,500,1,1,1
28,123,377,1,1,1
29,233,267,1,1,1
30,0,500,1,0,0
31,0,500,1,1,0
32,0,500,1,1,0
33,0,500,1,1,1
34,0,500,1,0,0
35,111,389,1,0,1
36,0,500,1,1,1
37,13,487,1,1,1
38,117,383,1,1,1
39,0,500,1,0,1
