ID,S,I,State,Nature,Obs
0,160,340,1,0,1
1,40,460,1,0,0
2,0,500,1,0,1
3,392,108,0,1,0
4,0,500,1,1,1
5,1,499,1,1,1
6,2,498,1,1,1
7,59,441,1,1,1
8,0,500,1,1,1
9,21,479,1,1,1
10,0,500,1,1,0
11,0,500,1,0,0
12,500,0,0,0,0
13,0,500,1,1,1
14,57,443,1,1,1
15,273,227,0,1,1
16,81,419,1,1,1
17,0,500,1,0,0
18,5,495,1,1,1
19,233,267,1,1,1
20,18,482,1,1,1
21,0,500,1,1,1
22,423,77,0,0,0
23,470,30,0,0,0
24,431,69,0,1,0
25,15,485,1,1,1
26,377,123,0,1,0
27,500,0,0,0,0
28,93,407,1,1,1
29,0,500,1,1,0
30,478,22,0,0,0
31,38,462,1,1,1
32,273,227,0,1,1
33,0,500,1,1,1
34,195,305,1,1,1
35,0,500,1,1,0
36,227,273,1,1,1
37,62,438,1,1,0
38,12,488,1,1,0
39,273,227,0,0,0
