ID,S,I,State,Nature,Obs
0,86,414,1,1,1
1,122,378,1,1,1
2,81,419,1,1,1
3,202,298,1,1,1
4,37,463,1,0,0
5,91,409,1,1,1
6,91,409,1,0,0
7,56,444,1,1,1
8,118,382,1,1,1
9,43,457,1,1,1
10,55,445,1,1,1
11,161,339,1,0,0
12,42,458,1,1,1
13,103,397,1,1,0
14,60,440,1,1,1
15,45,455,1,1,1
16,180,320,1,1,1
17,67,433,1,1,0
18,171,329,1,1,1
19,159,341,1,1,1
20,62,438,1,1,1
21,131,369,1,0,0
22,178,322,1,1,0
23,66,434,1,1,1
24,48,452,1,1,1
25,212,288,1,1,1
26,48,452,1,1,1
27,53,447,1,1,1
28,46,454,1,1,1
29,169,331,1,0,0
30,189,311,1,1,1
31,74,426,1,1,1
32,41,459,1,1,1
33,65,435,1,1,0
34,145,355,1,1,1
35,194,306,1,0,0
36,57,443,1,0,0
37,152,348,1,1,1
38,193,307,1,1,0
39,123,377,1,0,0
