ID,S,I,State,Nature,Obs
0,0,500,1,1,0
1,0,500,1,1,1
2,0,500,1,1,1
3,130,370,1,0,0
4,0,500,1,1,1
5,6,494,1,1,1
6,0,500,1,1,1
7,1,499,1,1,1
8,114,386,1,1,0
9,7,493,1,1,1
10,1,499,1,1,1
11,172,328,1,1,0
12,0,500,1,1,1
13,0,500,1,0,0
14,1,499,1,1,1
15,0,500,1,1,0
16,33,467,1,1,1
17,431,69,0,0,0
18,500,0,0,0,1
19,490,10,0,0,0
20,0,500,1,1,1
21,1,499,1,1,1
22,0,500,1,1,1
23,0,500,1,1,1
24,500,0,0,0,0
25,0,500,1,1,1
26,433,67,0,1,0
27,0,500,1,1,1
28,2,498,1,1,1
29,0,500,1,1,1
30,0,500,1,1,1
31,0,500,1,1,0
32,500,0,0,1,1
33,500,0,0,1,1
34,0,500,1,1,1
35,0,500,1,1,1
36,0,500,1,1,0
37,0,500,1,1,0
38,0,500,1,1,1
39,500,0,0,1,0
