ID,S,I,State,Nature,Obs
0,71,429,1,1,0
1,135,365,1,1,0
2,50,450,1,1,1
3,190,310,1,1,1
4,148,352,1,1,1
5,96,404,1,0,0
6,63,437,1,1,1
7,74,426,1,1,1
8,115,385,1,1,1
9,32,468,1,0,0
10,103,397,1,1,1
11,116,384,1,0,1
12,82,418,1,1,1
13,137,363,1,1,1
14,72,428,1,1,1
15,91,409,1,1,1
16,165,335,1,1,1
17,92,408,1,1,1
18,138,362,1,1,1
19,147,353,1,1,1
20,84,416,1,0,0
21,133,367,1,1,1
22,169,331,1,0,0
23,89,411,1,1,1
24,89,411,1,1,1
25,200,300,1,1,1
26,90,410,1,0,1
27,97,403,1,1,1
28,82,418,1,1,1
29,146,354,1,1,0
30,194,306,1,0,0
31,70,430,1,1,1
32,107,393,1,1,1
33,92,408,1,1,1
34,122,378,1,1,1
35,188,312,1,1,1
36,78,422,1,1,1
37,141,359,1,1,1
38,187,313,1,1,1
39,130,370,1,1,1
