ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,0,500,1,0,0
4,0,500,1,0,0
5,0,500,1,0,0
6,0,500,1,0,0
7,0,500,1,0,1
8,0,500,1,1,1
9,0,500,1,0,1
10,0,500,1,0,0
11,0,500,1,1,1
12,0,500,1,1,1
13,0,500,1,0,0
14,0,500,1,1,1
15,0,500,1,1,1
16,0,500,1,1,1
17,500,0,0,0,0
18,500,0,0,0,0
19,484,16,0,0,0
20,5,495,1,0,0
21,0,500,1,1,0
22,0,500,1,1,1
23,0,500,1,1,1
24,0,500,1,1,0
25,0,500,1,1,1
26,0,500,1,1,1
27,0,500,1,1,0
28,0,500,1,1,1
29,0,500,1,1,0
30,0,500,1,1,1
31,0,500,1,1,1
32,446,54,0,0,0
33,0,500,1,1,1
34,0,500,1,1,1
35,489,11,0,0,0
36,450,50,0,1,0
37,0,500,1,1,1
38,0,500,1,1,1
39,462,38,0,0,0
