ID,S,I,State,Nature,Obs
0,0,500,1,1,1
1,0,500,1,1,0
2,0,500,1,1,1
3,117,383,1,0,1
4,0,500,1,1,0
5,0,500,1,1,1
6,0,500,1,1,1
7,480,20,0,1,0
8,0,500,1,1,1
9,5,495,1,1,1
10,54,446,1,1,0
11,0,500,1,1,0
12,52,448,1,1,1
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,1
16,0,500,1,1,1
17,0,500,1,1,1
18,39,461,1,0,1
19,0,500,1,1,1
20,3,497,1,1,1
21,0,500,1,1,0
22,449,51,0,0,0
23,0,500,1,1,1
24,387,113,0,1,0
25,5,495,1,1,0
26,0,500,1,1,1
27,6,494,1,1,1
28,1,499,1,1,1
29,0,500,1,1,1
30,230,270,1,1,1
31,0,500,1,1,1
32,0,500,1,1,1
33,500,0,0,1,1
34,0,500,1,1,1
35,0,500,1,0,0
36,0,500,1,1,1
37,0,500,1,1,1
38,500,0,0,0,1
39,0,500,1,0,1
