ID,S,I,State,Nature,Obs
0,123,377,1,1,1
1,38,462,1,1,1
2,80,420,1,1,1
3,191,309,1,0,1
4,31,469,1,1,1
5,53,447,1,1,1
6,121,379,1,1,1
7,101,399,1,1,1
8,124,376,1,1,0
9,145,355,1,1,1
10,58,442,1,0,0
11,159,341,1,1,1
12,75,425,1,1,1
13,124,376,1,1,1
14,68,432,1,1,0
15,76,424,1,1,1
16,194,306,1,1,0
17,75,425,1,1,1
18,137,363,1,1,1
19,163,337,1,0,0
20,73,427,1,1,1
21,128,372,1,0,1
22,136,364,1,1,0
23,100,400,1,1,1
24,72,428,1,1,0
25,229,271,1,0,0
26,81,419,1,1,1
27,92,408,1,1,0
28,87,413,1,1,1
29,182,318,1,1,1
30,185,315,1,1,1
31,107,393,1,1,0
32,46,454,1,1,1
33,76,424,1,1,1
34,140,360,1,1,1
35,162,338,1,1,1
36,116,384,1,0,0
37,156,344,1,1,1
38,185,315,1,1,1
39,147,353,1,1,1
