ID,S,I,State,Nature,Obs
0,107,393,1,0,1
1,82,418,1,0,1
2,72,428,1,0,0
3,193,307,1,1,0
4,45,455,1,1,1
5,111,389,1,1,1
6,104,396,1,1,1
7,102,398,1,1,1
8,124,376,1,1,0
9,70,430,1,1,1
10,65,435,1,0,0
11,143,357,1,1,1
12,80,420,1,0,0
13,129,371,1,0,0
14,92,408,1,1,1
15,119,381,1,0,0
16,180,320,1,1,1
17,120,380,1,0,1
18,185,315,1,0,0
19,143,357,1,0,1
20,95,405,1,1,1
21,138,362,1,1,1
22,143,357,1,1,1
23,114,386,1,1,1
24,114,386,1,0,1
25,210,290,1,0,1
26,65,435,1,1,1
27,105,395,1,0,0
28,100,400,1,0,0
29,160,340,1,1,1
30,206,294,1,1,1
31,104,396,1,0,0
32,88,412,1,1,0
33,88,412,1,1,0
34,142,358,1,1,1
35,204,296,1,0,0
36,83,417,1,0,0
37,158,342,1,1,0
38,204,296,1,1,0
39,153,347,1,0,0
