ID,S,I,State,Nature,Obs
0,119,381,1,1,1
1,0,500,1,1,1
2,0,500,1,1,1
3,2,498,1,0,0
4,0,500,1,1,1
5,42,458,1,1,1
6,78,422,1,1,1
7,3,497,1,1,1
8,498,2,0,1,1
9,0,500,1,1,1
10,0,500,1,1,1
11,28,472,1,1,1
12,0,500,1,1,1
13,498,2,0,0,0
14,0,500,1,1,1
15,0,500,1,1,1
16,26,474,1,1,1
17,1,499,1,1,1
18,42,458,1,1,1
19,498,2,0,0,1
20,0,500,1,1,1
21,0,500,1,1,1
22,444,56,0,1,0
23,0,500,1,1,1
24,0,500,1,1,1
25,105,395,1,1,1
26,0,500,1,1,1
27,0,500,1,1,1
28,1,499,1,1,1
29,20,480,1,1,1
30,97,403,1,1,1
31,0,500,1,1,1
32,500,0,0,1,1
33,0,500,1,1,1
34,0,500,1,1,1
35,223,277,1,0,0
36,0,500,1,1,1
37,22,478,1,1,1
38,2,498,1,1,0
39,17,483,1,0,0
