ID,S,I,State,Nature,Obs
0,97,403,1,1,1
1,108,392,1,1,1
2,80,420,1,1,1
3,196,304,1,1,1
4,78,422,1,1,1
5,88,412,1,0,0
6,96,404,1,1,1
7,95,405,1,0,0
8,120,380,1,1,1
9,85,415,1,1,1
10,96,404,1,1,1
11,131,369,1,0,0
12,84,416,1,1,1
13,142,358,1,1,1
14,105,395,1,0,0
15,127,373,1,1,1
16,191,309,1,1,1
17,74,426,1,1,1
18,151,349,1,1,1
19,146,354,1,0,0
20,117,383,1,0,1
21,96,404,1,1,1
22,136,364,1,0,0
23,102,398,1,1,1
24,97,403,1,1,1
25,219,281,1,1,1
26,89,411,1,1,1
27,109,391,1,1,0
28,117,383,1,1,1
29,146,354,1,1,1
30,203,297,1,0,0
31,125,375,1,1,1
32,103,397,1,0,0
33,101,399,1,1,1
34,132,368,1,1,1
35,201,299,1,1,1
36,117,383,1,1,1
37,137,363,1,1,1
38,182,318,1,1,1
39,103,397,1,1,1
