ID,S,I,State,Nature,Obs
0,197,303,1,1,1
1,204,296,1,1,1
2,192,308,1,0,0
3,279,221,0,0,0
4,184,316,1,1,0
5,197,303,1,1,1
6,202,298,1,1,1
7,206,294,1,1,1
8,225,275,1,1,1
9,189,311,1,1,1
10,204,296,1,1,0
11,239,261,1,0,0
12,200,300,1,1,1
13,233,267,1,1,1
14,210,290,1,1,1
15,201,299,1,0,0
16,260,240,0,1,1
17,198,302,1,1,1
18,245,255,1,1,1
19,243,257,1,0,0
20,211,289,1,1,1
21,223,277,1,0,1
22,261,239,0,0,0
23,201,299,1,0,1
24,201,299,1,1,1
25,284,216,0,0,0
26,198,302,1,1,1
27,209,291,1,1,0
28,203,297,1,1,1
29,248,252,1,0,0
30,284,216,0,1,0
31,207,293,1,1,1
32,199,301,1,1,1
33,205,295,1,1,0
34,244,256,1,0,0
35,288,212,0,0,0
36,201,299,1,0,0
37,258,242,0,0,0
38,269,231,0,0,0
39,236,264,1,0,0
