ID,S,I,State,Nature,Obs
0,464,36,0,0,0
1,0,500,1,1,1
2,0,500,1,0,0
3,382,118,0,0,0
4,0,500,1,0,0
5,0,500,1,1,0
6,0,500,1,1,1
7,207,293,1,1,1
8,0,500,1,1,1
9,0,500,1,1,0
10,11,489,1,1,1
11,278,222,0,1,1
12,500,0,0,1,0
13,0,500,1,1,1
14,0,500,1,1,1
15,0,500,1,1,1
16,0,500,1,0,0
17,0,500,1,0,0
18,0,500,1,1,1
19,0,500,1,0,0
20,0,500,1,1,1
21,326,174,0,1,0
22,80,420,1,0,1
23,68,432,1,1,1
24,494,6,0,0,0
25,0,500,1,1,1
26,0,500,1,1,0
27,0,500,1,1,1
28,0,500,1,1,1
29,0,500,1,0,0
30,0,500,1,1,1
31,304,196,0,1,0
32,0,500,1,0,0
33,0,500,1,1,1
34,0,500,1,1,1
35,0,500,1,0,0
36,0,500,1,1,1
37,484,16,0,1,0
38,49,451,1,1,1
39,0,500,1,1,1
