ID,S,I,State,Nature,Obs
0,424,76,0,0,0
1,427,73,0,0,0
2,422,78,0,0,0
3,434,66,0,0,0
4,426,74,0,0,0
5,418,82,0,0,0
6,436,64,0,0,0
7,430,70,0,0,0
8,431,69,0,0,0
9,427,73,0,0,0
10,431,69,0,0,0
11,441,59,0,0,0
12,431,69,0,0,0
13,438,62,0,0,0
14,428,72,0,0,0
15,431,69,0,0,0
16,446,54,0,0,0
17,429,71,0,0,0
18,424,76,0,0,0
19,425,75,0,0,0
20,435,65,0,0,0
21,428,72,0,0,0
22,426,74,0,0,0
23,428,72,0,0,0
24,437,63,0,0,0
25,456,44,0,0,0
26,421,79,0,0,0
27,435,65,0,0,0
28,447,53,0,0,0
29,459,41,0,0,0
30,452,48,0,0,0
31,428,72,0,0,0
32,438,62,0,0,0
33,444,56,0,0,0
34,430,70,0,0,0
35,431,69,0,0,0
36,439,61,0,0,0
37,426,74,0,0,0
38,444,56,0,0,0
39,458,42,0,0,0
